Region,Gender_of _Victims,Driver_Edu_Level,Driver_Experience,Cars_Service_Years,Vehicle_Types,Vehicles _Owner,Places_of_Accident_ Occurred,Road_Type,Placement_of_ the _Road,RoadConn,RoadSurfaceType,RoadChar,WeatherCond,vehicledefects,AccSeverity
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and Flat Surface,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and Flat Surface,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and Flat Surface,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and Flat Surface,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and Flat Surface,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and Flat Surface,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and Flat Surface,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and Flat Surface,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and Flat Surface,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and Flat Surface,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and Flat Surface,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and Flat Surface,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and Flat Surface,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and Flat Surface,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Vacuum Truck,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Female,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Female,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Female,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Female,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Female,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Female,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Female,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Near Factory,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Religious Place,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Religious Place,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Religious Place,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Religious Place,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Religious Place,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Religious Place,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
Oromia,Male,9_10,2_5years,2_5years,Taxi,Private,Religious Place,Two Way,Straight and  slightly slopinng,None Intersection,Good Asphalt,Dry,Good Weather,No Defect,Fatal
